datetime;open;high;low;close;volume
2024-12-01;421.57001;456.16000;420.66000;421.5;439902400
2024-11-01;409.010010;429.32999;405.57001;423.45999;442321200
2024-10-01;428.45001;438.5;406.29999;406.35001;440745500
2024-09-01;417.91000;441.85001;400.79999;430.29999;376921200
2024-08-01;420.79001;427.45999;385.57999;417.14001;451919000
2024-07-01;448.66000;468.35001;412.20999;418.35001;440449200
2024-06-01;415.53000;456.17001;408.92001;446.95001;342370400
2024-05-01;392.60999;433.60001;390.31000;415.13000;413800800
2024-04-01;423.95001;429.37000;388.029999;389.32999;440777700
2024-03-01;411.26999;430.82001;398.39001;420.72000;426349600
2024-02-01;401.82999;420.82001;397.22000;413.64001;444176300
2024-01-01;373.85999;415.32001;366.5;397.57999;528399000
2023-12-01;376.76001;378.16000;362.89999;376.040009;522003700
2023-11-01;339.79001;384.29999;339.64999;378.91000;563880300
2023-10-01;316.28000;346.20001;311.20999;338.10999;540907000
2023-09-01;331.31000;340.85999;309.45001;315.75;416680700
2023-08-01;335.19000;338.54001;311.54999;327.76001;479456700
2023-07-01;339.19000;366.78000;327;335.92001;666764400
2023-06-01;325.92999;351.47000;322.5;340.54001;547588700
2023-05-01;306.97000;335.94000;303.39999;328.39001;600807200
2023-04-01;286.51999;308.92999;275.37000;307.26001;551497100
2023-03-01;250.75999;289.26999;245.61000;288.29999;747635000
2023-02-01;248;276.76001;245.47000;249.42000;615501000
2023-01-01;243.080002;249.83000;219.35001;247.81000;666168100
2022-12-01;253.87000;263.92001;233.87000;239.82001;591358700
2022-11-01;234.60001;255.33000;213.42999;255.14000;615296000
2022-10-01;235.41000;251.039993;219.13000;232.13000;671225100
2022-09-01;258.87000;267.45001;232.73000;232.89999;575586600
2022-08-01;277.82001;294.17999;260.66000;261.47000;477157600
2022-07-01;256.39001;282;245.94000;280.73999;534891800
2022-06-01;275.20001;277.69000;241.50999;256.82999;621372300
2022-05-01;277.70999;290.88000;246.44000;271.87000;742902000
2022-04-01;309.37000;315.10999;270;277.51999;627343400
2022-03-01;296.39999;315.95001;270;308.31000;734334200
2022-02-01;310.41000;315.12000;271.51999;298.79001;697050600
2022-01-01;335.35001;338;276.049988;310.98001;947531400
2021-12-01;335.13000;344.29999;317.25;336.32001;625674800
2021-11-01;331.35999;349.67001;326.37000;330.59000;509885200
2021-10-01;282.12000;332;280.25;331.62000;516515800
2021-09-01;302.87000;305.32001;281.62000;281.92001;502918700
2021-08-01;286.35999;305.84000;283.73999;301.88000;441308900
2021-07-01;269.60999;290.14999;269.60001;284.91000;522672700
2021-06-01;251.23000;271.64999;243;270.89999;508572200
2021-05-01;253.39999;254.35001;238.070007;249.67999;495084900
2021-04-01;238.47000;263.19000;238.050003;252.17999;568661600
2021-03-01;235.89999;241.050003;224.25999;235.77000;724945800
2021-02-01;235.059998;246.13000;227.88000;232.38000;490962200
2021-01-01;222.53000;242.64000;211.94000;231.96001;648076400
2020-12-01;214.50999;227.17999;209.11000;222.42000;594761700
2020-11-01;204.28999;228.12000;200.12000;214.070007;573443000
2020-10-01;213.49001;225.21001;199.62000;202.47000;631618000
2020-09-01;225.50999;232.86000;196.25;210.33000;768176300
2020-08-01;211.52000;231.14999;203.14000;225.53000;692423900
2020-07-01;203.14000;216.38000;197.50999;205.0099945;770190800
2020-06-01;182.53999;204.39999;181.35001;203.50999;764965400
2020-05-01;175.80000;187.50999;173.80000;183.25;688845000
2020-04-01;153;180.39999;150.36000;179.21001;984705000
2020-03-01;165.31000;175;132.52000;157.71001;1612695500
2020-02-01;170.42999;190.70000;152;162.0099945;887522300
2020-01-01;158.78000;174.050003;156.50999;170.23000;558530000
2019-12-01;151.81000;159.55000;146.64999;157.70000;450303300
