datetime;open;high;low;close;volume
2024-12-01;602.96997;609.070007;580.90997;586.080017;1059516700
2024-11-01;571.32001;603.34998;567.89001;602.54999;901843000
2024-10-01;573.40002;586.12000;565.27002;568.64001;976068800
2024-09-01;560.46997;574.71002;539.44000;573.76001;1045061400
2024-08-01;552.57001;564.20001;510.26999;563.67999;1244599000
2024-07-01;545.63000;565.15997;537.45001;550.81000;1038465500
2024-06-01;529.020020;550.28003;522.59998;544.21997;888923200
2024-05-01;501.38000;533.070007;499.54999;527.37000;1153264400
2024-04-01;523.83002;524.38000;493.85999;501.98001;1592974000
2024-03-01;508.98001;524.60999;504.91000;523.070007;1473246900
2024-02-01;484.63000;510.13000;483.79999;508.079987;1393465400
2024-01-01;472.16000;491.62000;466.42999;482.88000;1700630800
2023-12-01;455.76999;477.54999;454.31000;475.31000;1643108100
2023-11-01;419.20001;458.32001;418.64999;456.39999;1499960600
2023-10-01;426.62000;438.14001;409.20999;418.20001;1999149700
2023-09-01;453.17001;453.67001;422.29001;427.48001;1588673200
2023-08-01;456.26999;457.25;433.010010;450.35001;1754764700
2023-07-01;442.92001;459.44000;437.059998;457.79001;1374632400
2023-06-01;418.089996;444.29999;416.79001;443.28000;1749755000
2023-05-01;415.47000;422.57999;403.73999;417.85001;1780705600
2023-04-01;408.85001;415.94000;403.78000;415.92999;1395683000
2023-03-01;395.41000;409.70001;380.64999;409.39001;2515995800
2023-02-01;405.20999;418.31000;393.64001;396.26001;1603094700
2023-01-01;384.37000;408.16000;377.82999;406.48001;1575450100
2022-12-01;408.76999;410.48999;374.76999;382.42999;1735973600
2022-11-01;390.14001;407.67999;368.79001;407.67999;1745985300
2022-10-01;361.079987;389.51999;348.10999;386.20999;2024732000
2022-09-01;392.89001;411.73001;357.040009;357.17999;1998908600
2022-08-01;409.14999;431.73001;395.040009;395.17999;1443394400
2022-07-01;376.56000;413.029999;371.040009;411.98999;1437748400
2022-06-01;415.17001;417.44000;362.17001;377.25;1958611900
2022-05-01;412.070007;429.66000;380.54001;412.92999;2418478100
2022-04-01;453.31000;457.82999;411.20999;412;1856757400
2022-03-01;435.040009;462.070007;415.12000;451.64001;2380929500
2022-02-01;450.67999;458.12000;410.64001;436.63000;2297975100
2022-01-01;476.29999;479.98001;420.76001;449.91000;2485167800
2021-12-01;461.64001;479;448.92001;474.95999;1927433900
2021-11-01;460.29999;473.54001;455.29999;455.56000;1335351500
2021-10-01;430.98001;459.56000;426.35999;459.25;1508665200
2021-09-01;452.56000;454.049988;428.78000;429.14001;1745559600
2021-08-01;440.34000;453.070007;436.10001;451.56000;1254001400
2021-07-01;428.87000;441.79999;421.97000;438.51001;1422104700
2021-06-01;422.57001;428.78000;414.70001;428.059998;1282152400
2021-05-01;419.42999;422.82001;404;420.040009;1547235900
2021-04-01;398.39999;420.72000;398.17999;417.29999;1462106600
2021-03-01;385.59000;398.12000;371.88000;396.32999;2401715800
2021-02-01;373.72000;394.17001;370.38000;380.35999;1307806200
2021-01-01;375.31000;385.85001;364.82001;370.070007;1402265400
2020-12-01;365.57001;378.45999;362.029999;373.88000;1344541500
2020-11-01;330.20001;364.38000;327.23999;362.059998;1535244300
2020-10-01;337.69000;354.019989;322.60001;326.54001;1629016100
2020-09-01;350.20999;358.75;319.79999;334.89001;1814712700
2020-08-01;328.32001;351.29999;327.73001;349.31000;1045563300
2020-07-01;309.57001;327.23001;309.070007;326.51999;1505145300
2020-06-01;303.62000;323.41000;296.73999;308.35999;2358674500
2020-05-01;285.31000;306.84000;272.98999;304.32001;1910460500
2020-04-01;247.98000;294.88000;243.89999;290.48001;2819312300
2020-03-01;298.20999;313.84000;218.25999;257.75;5926017600
2020-02-01;323.35001;339.079987;285.54001;296.26001;2110214900
2020-01-01;323.54001;332.95001;320.35999;321.73001;1392003800
2019-12-01;314.59000;323.79999;307.13000;321.85999;1285175800
